"totalvalue","finsqft","lotsize","bedroom","fullbath","yearbuilt","esdistrict","msdistrict","hsdistrict","censustract","condition","cooling","age","fp"
861300,3608,0,5,3,1979,"Broadus Wood","Journey","Albemarle","102.02","Fair","Central Air",46,"Yes"
102600,748,2.07,2,1,1754,"Scottsville","Walton","Monticello","114","Fair","No Central Air",271,"No"
462700,3662,16,5,3,1971,"Stone-Robinson","Burley","Monticello","104.01","Fair","No Central Air",54,"Yes"
366100,1417,0.223,3,2,1989,"Baker-Butler","Lakeside","Albemarle","103.03","Fair","Central Air",36,"Yes"
117900,1008,1,2,1,1930,"Red Hill","Walton","Monticello","114","Fair","No Central Air",95,"Yes"
272400,1056,2.001,3,1,1973,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","No Central Air",52,"No"
260200,1384,2.795,3,2,1962,"Brownsville","Henley","Western Albemarle","112.01","Fair","No Central Air",63,"No"
427200,2153,1.49,3,3,1970,"Ivy","Henley","Western Albemarle","101","Fair","Central Air",55,"Yes"
197300,1440,2,3,1,1960,"Broadus Wood","Journey","Albemarle","101","Fair","No Central Air",65,"Yes"
122900,1080,0.659,3,1,1923,"Red Hill","Walton","Monticello","112.02","Fair","No Central Air",102,"No"
432600,1196,35.198,2,1,1945,"Brownsville","Henley","Western Albemarle","112.01","Fair","Central Air",80,"No"
563300,1885,0.383,3,3,1997,"Stone-Robinson","Burley","Monticello","104.02","Fair","Central Air",28,"Yes"
306400,1344,1.792,4,2,1957,"Stone-Robinson","Walton","Monticello","113.01","Fair","Central Air",68,"Yes"
132900,928,2,2,1,1944,"Broadus Wood","Journey","Albemarle","101","Fair","No Central Air",81,"No"
320100,1680,3.003,3,2,1972,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","Central Air",53,"Yes"
293800,1300,0.3375,3,1,1962,"Woodbrook","Journey","Albemarle","106.04","Fair","Central Air",63,"Yes"
341400,1390,0.3437,3,2,1962,"Woodbrook","Journey","Albemarle","106.04","Fair","Central Air",63,"Yes"
322200,1418,0.087,2,3,1989,"Agnor","Journey","Albemarle","106.03","Fair","Central Air",36,"Yes"
646500,3151,1.822,4,3,1984,"Ivy","Henley","Western Albemarle","110","Fair","Central Air",41,"Yes"
151900,1386,0.38,3,2,1961,"Broadus Wood","Journey","Albemarle","103.01","Fair","No Central Air",64,"Yes"
435700,2688,2,3,2,1980,"Stone-Robinson","Burley","Monticello","104.02","Fair","Central Air",45,"Yes"
355700,1428,6.74,3,1,1950,"Stone-Robinson","Burley","Monticello","104.01","Fair","Central Air",75,"No"
53600,640,2.17,3,1,1950,"Scottsville","Walton","Monticello","114","Fair","No Central Air",75,"No"
379000,1374,0.698,3,1,1920,"Crozet","Henley","Western Albemarle","111.01","Fair","Central Air",105,"No"
228000,1115,0.41,3,2,1950,"Brownsville","Henley","Western Albemarle","111.02","Fair","No Central Air",75,"No"
285700,1427,0.131,3,2,1998,"Crozet","Henley","Western Albemarle","111.01","Fair","Central Air",27,"No"
204500,832,6,2,1,1930,"Red Hill","Walton","Monticello","113.01","Fair","No Central Air",95,"No"
630700,1924,1.652,3,2,1967,"Ivy","Henley","Western Albemarle","110","Fair","Central Air",58,"Yes"
255100,1305,2.14,3,1,1973,"Stone-Robinson","Burley","Monticello","104.01","Fair","No Central Air",52,"No"
222700,1397,11.59,4,1,1955,"Red Hill","Walton","Monticello","112.02","Fair","Central Air",70,"Yes"
507500,1800,0.382,5,3,1963,"Greer","Journey","Albemarle","108.01","Fair","Central Air",62,"Yes"
234400,980,1,3,1,1997,"Murray","Henley","Western Albemarle","110","Fair","No Central Air",28,"No"
329200,1139,1.265,5,2,1964,"Baker-Butler","Lakeside","Albemarle","103.01","Fair","No Central Air",61,"No"
374600,1512,0.403,4,3,1974,"Woodbrook","Journey","Albemarle","106.04","Fair","Central Air",51,"Yes"
346700,1288,0.4932,4,3,1973,"Woodbrook","Journey","Albemarle","106.04","Fair","Central Air",52,"Yes"
406700,2148,2.4,3,3,1979,"Murray","Henley","Western Albemarle","110","Fair","Central Air",46,"Yes"
809500,2400,119.467,3,1,1920,"Crozet","Henley","Western Albemarle","101","Fair","No Central Air",105,"No"
617700,1668,54,4,1,1700,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","No Central Air",325,"Yes"
232700,1938,4.685,4,1,1961,"Red Hill","Walton","Monticello","112.02","Fair","Central Air",64,"Yes"
127600,760,1.18,2,1,1960,"Scottsville","Walton","Monticello","113.01","Fair","No Central Air",65,"Yes"
331400,1066,9.53,5,2,1960,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","No Central Air",65,"No"
318100,1176,48.7,4,1,1952,"Red Hill","Walton","Monticello","112.02","Fair","No Central Air",73,"No"
439600,1946,3.626,4,3,1989,"Crozet","Henley","Western Albemarle","111.01","Fair","Central Air",36,"No"
928700,4264,16.33,6,4,1892,"Scottsville","Walton","Monticello","114","Fair","No Central Air",133,"Yes"
142200,1340,3,3,1,1935,"Stone-Robinson","Burley","Monticello","104.01","Fair","No Central Air",90,"No"
136600,900,1,3,1,1971,"Scottsville","Walton","Monticello","114","Fair","No Central Air",54,"No"
240800,1020,2.31,2,1,1930,"Ivy","Henley","Western Albemarle","101","Fair","No Central Air",95,"No"
2767600,3222,6.4,3,2,1952,"Murray","Henley","Western Albemarle","110","Fair","Central Air",73,"Yes"
239900,1764,0.68,3,2,1960,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","No Central Air",65,"Yes"
376100,1296,0.412,4,2,1978,"Crozet","Henley","Western Albemarle","111.02","Fair","Central Air",47,"Yes"
185500,1200,2,3,1,1966,"Stone-Robinson","Burley","Monticello","104.01","Fair","Central Air",59,"No"
551600,1701,1.317,3,3,1987,"Murray","Henley","Western Albemarle","110","Fair","Central Air",38,"Yes"
140800,728,2.658,2,1,1965,"Stony Point","Lakeside","Albemarle","104.01","Fair","No Central Air",60,"No"
453000,2176,0.6652,5,3,1963,"Woodbrook","Journey","Albemarle","106.04","Fair","Central Air",62,"Yes"
293100,1024,3.02,3,1,1960,"Murray","Henley","Western Albemarle","112.01","Fair","Central Air",65,"No"
226100,1204,2.13,3,2,2007,"Scottsville","Walton","Monticello","114","Fair","Central Air",18,"No"
90300,1140,0.152,2,1,1754,"Scottsville","Walton","Monticello","114","Fair","No Central Air",271,"Yes"
134000,1040,1,2,1,1968,"Stony Point","Lakeside","Albemarle","104.01","Fair","No Central Air",57,"No"
166700,800,0.48,3,1,1957,"Stony Point","Burley","Monticello","105.01","Fair","No Central Air",68,"No"
573000,1164,61.02,3,1,1956,"Red Hill","Walton","Monticello","112.02","Fair","Central Air",69,"No"
434400,2442,124.357,5,3,1937,"Baker-Butler","Lakeside","Albemarle","104.01","Fair","Central Air",88,"Yes"
222100,1230,0.111,3,1,1981,"Greer","Journey","Albemarle","107.02","Fair","Central Air",44,"Yes"
174000,1110,1.466,3,1,1930,"Red Hill","Walton","Monticello","112.02","Fair","No Central Air",95,"No"
194400,1288,2,3,2,1959,"Scottsville","Walton","Monticello","114","Fair","Central Air",66,"Yes"
411300,1472,0.205,3,2,1991,"Baker-Butler","Lakeside","Albemarle","103.03","Fair","Central Air",34,"Yes"
192900,1456,1.113,3,2,2004,"Crozet","Henley","Western Albemarle","111.01","Fair","Central Air",21,"Yes"
66200,1152,5.01,3,2,1971,"Stone-Robinson","Walton","Monticello","113.01","Fair","No Central Air",54,"No"
972400,730,57.463,1,1,1992,"Crozet","Henley","Western Albemarle","101","Fair","No Central Air",33,"No"
106400,1150,2.098,3,2,1979,"Brownsville","Henley","Western Albemarle","112.01","Fair","Central Air",46,"No"
495000,2456,0,3,2,1962,"Stony Point","Burley","Monticello","105.01","Fair","Central Air",63,"Yes"
445000,1839,1.974,3,2,1920,"Brownsville","Henley","Western Albemarle","111.03","Fair","No Central Air",105,"Yes"
273100,1682,0,3,2,1990,"Baker-Butler","Lakeside","Albemarle","103.03","Fair","Central Air",35,"Yes"
285900,2440,2,3,2,1999,"Broadus Wood","Journey","Albemarle","102.02","Fair","Central Air",26,"Yes"
167300,1600,0.216,4,2,1898,"Scottsville","Walton","Monticello","114","Fair","No Central Air",127,"No"
185400,960,2.33,3,1,1974,"Scottsville","Walton","Monticello","114","Fair","No Central Air",51,"No"
446300,2537,0,6,3,1968,"Greer","Journey","Albemarle","108.01","Fair","Central Air",57,"No"
189600,1592,0.263,4,1,1951,"Brownsville","Henley","Western Albemarle","112.01","Fair","No Central Air",74,"No"
320000,1197,0,3,1,1980,"Hollymead","Lakeside","Albemarle","103.03","Fair","Central Air",45,"Yes"
525600,2368,6.14,4,3,1975,"Ivy","Henley","Western Albemarle","101","Fair","Central Air",50,"Yes"
231200,933,2.584,3,1,1940,"Stone-Robinson","Burley","Monticello","104.02","Fair","Central Air",85,"No"
371700,1971,0.149,3,2,1998,"Crozet","Henley","Western Albemarle","111.01","Average","Central Air",27,"No"
507900,1759,0.27,3,2,2002,"Hollymead","Lakeside","Albemarle","103.03","Average","Central Air",23,"Yes"
162300,760,2.243,3,1,1969,"Scottsville","Walton","Monticello","114","Average","No Central Air",56,"No"
629600,2281,5.192,3,3,1910,"Ivy","Henley","Western Albemarle","110","Average","Central Air",115,"Yes"
723700,3648,34.09,5,2,1973,"Mountain View","Walton","Monticello","113.01","Average","No Central Air",52,"Yes"
1345300,3507,3.26,4,4,2001,"Ivy","Henley","Western Albemarle","102.02","Average","Central Air",24,"Yes"
305600,1330,2.45,2,1,1950,"Brownsville","Henley","Western Albemarle","111.02","Average","No Central Air",75,"Yes"
760400,2983,2.001,3,3,2008,"Greer","Journey","Albemarle","108.02","Average","Central Air",17,"Yes"
1321300,4561,0.56,6,5,2002,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",23,"Yes"
387800,1994,0.064,3,2,2006,"Woodbrook","Journey","Albemarle","106.03","Average","Central Air",19,"Yes"
528300,2250,0.41,4,2,1998,"Mountain View","Walton","Monticello","113.03","Average","Central Air",27,"No"
475900,1500,0.5679,4,3,1967,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",58,"Yes"
638900,2077,19.221,2,2,1931,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",94,"Yes"
509500,2046,0.257,3,2,2002,"Crozet","Henley","Western Albemarle","111.03","Average","Central Air",23,"Yes"
641500,2404,0.099,4,2,2022,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",3,"Yes"
344600,1671,2.205,2,2,1986,"Red Hill","Walton","Monticello","112.02","Average","Central Air",39,"Yes"
496300,1512,2.066,3,3,1984,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",41,"Yes"
275300,1080,0.977,3,2,1997,"Red Hill","Walton","Monticello","113.01","Average","Central Air",28,"No"
930700,2544,0.473,5,4,2016,"Stony Point","Burley","Monticello","105.01","Average","Central Air",9,"Yes"
530600,2011,0.222,4,2,1999,"Mountain View","Walton","Monticello","113.03","Average","Central Air",26,"No"
1685900,5294,6.47,6,6,2005,"Murray","Henley","Western Albemarle","112.02","Average","Central Air",20,"Yes"
395100,1454,0.057,3,2,2014,"Stone-Robinson","Burley","Monticello","105.02","Average","Central Air",11,"No"
145400,1728,2,3,2,1994,"Red Hill","Walton","Monticello","113.01","Average","Central Air",31,"No"
378200,1438,0.4237,3,3,1965,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",60,"Yes"
331500,2040,2.001,3,3,2004,"Stone-Robinson","Walton","Monticello","113.01","Average","Central Air",21,"No"
